Gene stable ID	Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENSG00000152910	ENST00000611870	Q9C0A0	CNTNAP4
ENSG00000139173	ENST00000266534	Q9H0C3	TMEM117
ENSG00000151229	ENST00000280871	Q96QE2	SLC2A13
ENSG00000148841	ENST00000337478	Q8IWB1	ITPRIP
ENSG00000105829	ENST00000222547	O15155	BET1
ENSG00000102076	ENST00000369951	P04000	OPN1LW
ENSG00000152270	ENST00000282096	Q13370	PDE3B
ENSG00000099958	ENST00000318109	Q96Q80	DERL3
ENSG00000134294	ENST00000256689	Q96QD8	SLC38A2
ENSG00000126903	ENST00000651600	P09131	SLC10A3
ENSG00000011347	ENST00000539008	O43581	SYT7
ENSG00000148942	ENST00000396005	Q1EHB4	SLC5A12
ENSG00000124780	ENST00000373231	Q96T54	KCNK17
ENSG00000118961	ENST00000237822	Q9H6V9	LDAH
ENSG00000082397	ENST00000341928	Q9Y2J2	EPB41L3
ENSG00000125304	ENST00000376387	Q99805	TM9SF2
ENSG00000133083	ENST00000360631	O15075	DCLK1
ENSG00000151778	ENST00000379179	Q8N6R1	SERP2
ENSG00000075336	ENST00000169551	Q9BVV7	TIMM21
ENSG00000128310	ENST00000249041	O60755	GALR3
ENSG00000103257	ENST00000261622	Q01650	SLC7A5
ENSG00000100129	ENST00000652021	Q9Y262	EIF3L
ENSG00000090020	ENST00000263980	P19634	SLC9A1
ENSG00000118596	ENST00000547379	O60669	SLC16A7
ENSG00000152749	ENST00000376958	Q86V85	GPR180
ENSG00000005059	ENST00000394650	Q9NWR8	MCUB
ENSG00000125257	ENST00000645237	O15439	ABCC4
ENSG00000109182	ENST00000226432	Q9H720	CWH43
ENSG00000103335	ENST00000301015	Q92508	PIEZO1
ENSG00000036054	ENST00000394144	Q9NUY8	TBC1D23
ENSG00000138039	ENST00000294954	P22888	LHCGR
ENSG00000142627	ENST00000358432	P29317	EPHA2
ENSG00000077147	ENST00000371142	Q9HD45	TM9SF3
ENSG00000109158	ENST00000264318	P48169	GABRA4
ENSG00000139291	ENST00000266673	Q96HH6	TMEM19
ENSG00000060656	ENST00000373779	Q92729	PTPRU
ENSG00000131482	ENST00000253801	P35575	G6PC1
ENSG00000077498	ENST00000263321	P14679	TYR
ENSG00000131174	ENST00000650309	P24311	COX7B
ENSG00000107175	ENST00000353704	O43889	CREB3
ENSG00000101187	ENST00000217159	Q96BD0	SLCO4A1
ENSG00000138079	ENST00000260649	Q07837	SLC3A1
ENSG00000101188	ENST00000370501	P30989	NTSR1
ENSG00000147155	ENST00000495186	Q15125	EBP
ENSG00000086991	ENST00000263317	Q9NPH5	NOX4
ENSG00000073464	ENST00000380833	P51793	CLCN4
ENSG00000113845	ENST00000494664	Q9NPL8	TIMMDC1
ENSG00000138650	ENST00000264360	Q9P2E7	PCDH10
ENSG00000146383	ENST00000275198	Q96RI8	TAAR6
ENSG00000111885	ENST00000368468	P33908	MAN1A1
ENSG00000088888	ENST00000428216	Q7Z434	MAVS
ENSG00000115944	ENST00000234301	O14548	COX7A2L
ENSG00000153233	ENST00000283228	Q15256	PTPRR
ENSG00000121594	ENST00000264246	P33681	CD80
ENSG00000107518	ENST00000355044	Q5VV63	ATRNL1
ENSG00000146072	ENST00000296861	O75509	TNFRSF21
ENSG00000153551	ENST00000334983	Q96FZ5	CMTM7
ENSG00000146378	ENST00000367931	Q9P1P5	TAAR2
ENSG00000132429	ENST00000254765	Q9HBV1	POPDC3
ENSG00000110660	ENST00000525815	Q8IXU6	SLC35F2
ENSG00000112378	ENST00000421351	Q96FX8	PERP
ENSG00000074621	ENST00000261892	O60721	SLC24A1
ENSG00000130821	ENST00000253122	P48029	SLC6A8
ENSG00000112038	ENST00000330432	P35372	OPRM1
ENSG00000147224	ENST00000372435	P60891	PRPS1
ENSG00000100368	ENST00000403662	P32927	CSF2RB
ENSG00000102007	ENST00000376327	Q04941	PLP2
ENSG00000133460	ENST00000316185	Q9BYW1	SLC2A11
ENSG00000138111	ENST00000238936	Q14CX5	MFSD13A
ENSG00000099365	ENST00000215095	P61266	STX1B
ENSG00000103496	ENST00000313843	Q12846	STX4
ENSG00000107281	ENST00000371601	Q9NQX5	NPDC1
ENSG00000011422	ENST00000340093	Q03405	PLAUR
ENSG00000054179	ENST00000355097	Q9Y5L3	ENTPD2
ENSG00000130962	ENST00000378628	O14668	PRRG1
ENSG00000151572	ENST00000392977	Q32M45	ANO4
ENSG00000115353	ENST00000305249	P25103	TACR1
ENSG00000134830	ENST00000595464	Q9P296	C5AR2
ENSG00000101842	ENST00000217957	Q86XK7	VSIG1
ENSG00000103174	ENST00000312251	Q9UK23	NAGPA
ENSG00000108878	ENST00000226021	Q06432	CACNG1
ENSG00000115616	ENST00000233969	Q9UBY0	SLC9A2
ENSG00000147573	ENST00000315962	Q9BYV6	TRIM55
ENSG00000116205	ENST00000234827	Q96MN5	TCEANC2
ENSG00000075568	ENST00000186436	Q92545	TMEM131
ENSG00000146411	ENST00000275230	Q8TD20	SLC2A12
ENSG00000109943	ENST00000227348	O95727	CRTAM
ENSG00000147535	ENST00000424479	Q8NEB5	PLPP5
ENSG00000119457	ENST00000374228	Q9BY10	SLC46A2
ENSG00000153898	ENST00000370608	Q8IZK6	MCOLN2
ENSG00000149488	ENST00000358864	Q8TDI7	TMC2
ENSG00000147003	ENST00000380342	Q9HBJ8	CLTRN
ENSG00000154265	ENST00000392676	Q8WWZ7	ABCA5
ENSG00000151617	ENST00000651419	P25101	EDNRA
ENSG00000104369	ENST00000342232	Q9HDC5	JPH1
ENSG00000140526	ENST00000352732	P08910	ABHD2
ENSG00000100242	ENST00000689035	Q9UH99	SUN2
ENSG00000140199	ENST00000354181	Q9UHW9	SLC12A6
ENSG00000063127	ENST00000335875	Q9GZN6	SLC6A16
ENSG00000122420	ENST00000370757	P43088	PTGFR
ENSG00000135355	ENST00000369352	Q969M2	GJA10
ENSG00000142892	ENST00000370812	Q92643	PIGK
ENSG00000135953	ENST00000258436	Q8NBP5	MFSD9
ENSG00000112494	ENST00000230256	Q86WB7	UNC93A
ENSG00000115665	ENST00000264047	Q9GZV3	SLC5A7
ENSG00000135312	ENST00000369947	P28222	HTR1B
ENSG00000150938	ENST00000280527	Q9NZV1	CRIM1
ENSG00000072210	ENST00000176643	P51648	ALDH3A2
ENSG00000085117	ENST00000227155	P27701	CD82
ENSG00000101363	ENST00000373606	Q9NQG1	MANBAL
ENSG00000146242	ENST00000369750	Q13641	TPBG
ENSG00000081800	ENST00000194130	Q9BZW2	SLC13A1
ENSG00000075420	ENST00000415807	Q53EP0	FNDC3B
ENSG00000139908	ENST00000339917	Q6SA08	TSSK4
ENSG00000004809	ENST00000368919	Q86VW1	SLC22A16
ENSG00000101558	ENST00000400000	Q9P0L0	VAPA
ENSG00000142949	ENST00000359947	P10586	PTPRF
ENSG00000120742	ENST00000239944	Q9Y6X1	SERP1
ENSG00000104154	ENST00000261867	O14863	SLC30A4
ENSG00000090932	ENST00000356433	Q9NYJ7	DLL3
ENSG00000143036	ENST00000271227	Q8N4M1	SLC44A3
ENSG00000112367	ENST00000230124	Q92562	FIG4
ENSG00000108947	ENST00000226091	Q15768	EFNB3
ENSG00000104419	ENST00000323851	Q92597	NDRG1
ENSG00000133678	ENST00000372281	Q8TBM7	TMEM254
ENSG00000137210	ENST00000379542	Q9NUH8	TMEM14B
ENSG00000128285	ENST00000249016	Q99705	MCHR1
ENSG00000100385	ENST00000216223	P14784	IL2RB
ENSG00000148734	ENST00000277942	Q9GZQ6	NPFFR1
ENSG00000136908	ENST00000314392	O94777	DPM2
ENSG00000064393	ENST00000406875	Q9H2X6	HIPK2
ENSG00000116299	ENST00000369939	Q6UXG2	ELAPOR1
ENSG00000146453	ENST00000392167	Q8NA58	PNLDC1
ENSG00000148634	ENST00000373700	Q5GLZ8	HERC4
ENSG00000007062	ENST00000447510	O43490	PROM1
ENSG00000049130	ENST00000644744	P21583	KITLG
ENSG00000138463	ENST00000261038	Q96SL1	SLC49A4
ENSG00000082684	ENST00000357599	Q9P283	SEMA5B
ENSG00000131409	ENST00000652263	Q9NT99	LRRC4B
ENSG00000152128	ENST00000281924	Q8TC26	TMEM163
ENSG00000142511	ENST00000270590	O75388	GPR32
ENSG00000121073	ENST00000240333	P78383	SLC35B1
ENSG00000121853	ENST00000241256	Q92847	GHSR
ENSG00000117620	ENST00000533028	Q9Y2D2	SLC35A3
ENSG00000136514	ENST00000259030	Q96DX8	RTP4
ENSG00000127366	ENST00000247883	Q9NYW4	TAS2R5
ENSG00000144320	ENST00000272748	Q9C0E8	LNPK
ENSG00000148136	ENST00000277216	Q8NGS5	OR13C4
ENSG00000136839	ENST00000259362	Q8NGT0	OR13C9
ENSG00000135960	ENST00000258443	Q9UNE0	EDAR
ENSG00000107736	ENST00000224721	Q9H251	CDH23
ENSG00000149635	ENST00000279028	Q9BR26	OCSTAMP
ENSG00000007384	ENST00000262316	Q96CC6	RHBDF1
ENSG00000074771	ENST00000159060	Q9HBY0	NOX3
ENSG00000129473	ENST00000250405	Q92843	BCL2L2
ENSG00000125991	ENST00000348547	Q9Y282	ERGIC3
ENSG00000138741	ENST00000379645	Q13507	TRPC3
ENSG00000101084	ENST00000344795	Q9BUV8	RAB5IF
ENSG00000054219	ENST00000263636	O60449	LY75
ENSG00000120457	ENST00000529694	P48544	KCNJ5
ENSG00000134247	ENST00000393203	Q9P2B2	PTGFRN
ENSG00000109846	ENST00000650687	P02511	CRYAB
ENSG00000138185	ENST00000371205	P49961	ENTPD1
ENSG00000124140	ENST00000243964	Q9H2X9	SLC12A5
ENSG00000124532	ENST00000378386	Q9HD23	MRS2
ENSG00000138135	ENST00000371852	O95992	CH25H
ENSG00000139324	ENST00000266712	Q6ZXV5	TMTC3
ENSG00000119977	ENST00000371217	Q6NUS6	TCTN3
ENSG00000100564	ENST00000216452	Q14442	PIGH
ENSG00000125844	ENST00000377813	Q9P2E9	RRBP1
ENSG00000101850	ENST00000467482	P51810	GPR143
ENSG00000154415	ENST00000284601	Q16821	PPP1R3A
ENSG00000103066	ENST00000219345	Q8NCC3	PLA2G15
ENSG00000095981	ENST00000437525	Q96T55	KCNK16
ENSG00000103064	ENST00000219343	Q92536	SLC7A6
ENSG00000075413	ENST00000429436	P27448	MARK3
ENSG00000136235	ENST00000258733	Q14956	GPNMB
ENSG00000148248	ENST00000371989	O15260	SURF4
ENSG00000101438	ENST00000217420	Q9H598	SLC32A1
ENSG00000095739	ENST00000375533	Q13145	BAMBI
ENSG00000153107	ENST00000341068	Q9H1A4	ANAPC1
ENSG00000117262	ENST00000313835	B7ZAQ6	GPR89A
ENSG00000124785	ENST00000244766	Q9NPD7	NRN1
ENSG00000149403	ENST00000527524	Q16099	GRIK4
ENSG00000096264	ENST00000373089	O95944	NCR2
ENSG00000124155	ENST00000279036	Q969N2	PIGT
ENSG00000006652	ENST00000403825	O00458	IFRD1
ENSG00000125434	ENST00000577745	Q3KQZ1	SLC25A35
ENSG00000124568	ENST00000244527	Q14916	SLC17A1
ENSG00000122707	ENST00000377966	O95980	RECK
ENSG00000127249	ENST00000342695	Q4VNC1	ATP13A4
ENSG00000140675	ENST00000330498	P31639	SLC5A2
ENSG00000100373	ENST00000216211	O75631	UPK3A
ENSG00000147262	ENST00000682440	Q8TDV5	GPR119
ENSG00000110931	ENST00000404169	Q96RR4	CAMKK2
ENSG00000102119	ENST00000369842	P50402	EMD
ENSG00000064989	ENST00000392370	Q16602	CALCRL
ENSG00000105371	ENST00000380770	Q14773	ICAM4
ENSG00000135211	ENST00000257663	Q9H2L4	TMEM60
ENSG00000144820	ENST00000273352	Q96K78	ADGRG7
ENSG00000137522	ENST00000361756	Q9H920	RNF121
ENSG00000144290	ENST00000446997	Q6U841	SLC4A10
ENSG00000129467	ENST00000418030	Q8NFM4	ADCY4
ENSG00000110628	ENST00000649076	Q96BI1	SLC22A18
ENSG00000138942	ENST00000326132	Q96GF1	RNF185
ENSG00000004948	ENST00000426151	P30988	CALCR
ENSG00000002586	ENST00000381192	P14209	CD99
ENSG00000135916	ENST00000326427	Q9NQX7	ITM2C
ENSG00000124343	ENST00000644266	P55808	XG
ENSG00000102290	ENST00000682573	Q9BZA7	PCDH11X
ENSG00000136048	ENST00000258534	Q8N682	DRAM1
ENSG00000106560	ENST00000223293	Q9UG22	GIMAP2
ENSG00000121680	ENST00000378750	Q9Y5Y5	PEX16
ENSG00000002933	ENST00000004103	Q96HP8	TMEM176A
ENSG00000127324	ENST00000247829	P19075	TSPAN8
ENSG00000024048	ENST00000372901	Q8IWV8	UBR2
ENSG00000112619	ENST00000230381	P23942	PRPH2
ENSG00000133597	ENST00000072869	Q7Z695	ADCK2
ENSG00000061656	ENST00000374273	Q9NPE6	SPAG4
ENSG00000134755	ENST00000280904	Q02487	DSC2
ENSG00000076716	ENST00000370828	O75487	GPC4
ENSG00000122376	ENST00000298786	Q86V20	SHLD2
ENSG00000123338	ENST00000293373	P55160	NCKAP1L
ENSG00000119927	ENST00000348367	Q9HCL2	GPAM
ENSG00000139985	ENST00000603540	Q9UKJ8	ADAM21
ENSG00000046604	ENST00000261590	Q14126	DSG2
ENSG00000023041	ENST00000369405	Q9H6R6	ZDHHC6
ENSG00000144476	ENST00000272928	P25106	ACKR3
ENSG00000136802	ENST00000372600	Q8IWT6	LRRC8A
ENSG00000119682	ENST00000356357	O15033	AREL1
ENSG00000103254	ENST00000569529	Q9BQD7	ANTKMT
ENSG00000007908	ENST00000333360	P16581	SELE
ENSG00000148219	ENST00000313400	O75129	ASTN2
ENSG00000073670	ENST00000200557	O75078	ADAM11
ENSG00000134825	ENST00000537328	P61165	TMEM258
ENSG00000069943	ENST00000164305	Q92521	PIGB
ENSG00000148719	ENST00000444643	Q9NXW2	DNAJB12
ENSG00000124920	ENST00000278836	Q9Y2G1	MYRF
ENSG00000145107	ENST00000273695	Q96DZ7	TM4SF19
ENSG00000062524	ENST00000263800	P29376	LTK
ENSG00000129159	ENST00000265969	P48547	KCNC1
ENSG00000105467	ENST00000344846	O95473	SYNGR4
ENSG00000089041	ENST00000328963	Q99572	P2RX7
ENSG00000139914	ENST00000267426	A5D6W6	FITM1
ENSG00000155249	ENST00000641172	Q8NGD4	OR4K1
ENSG00000122375	ENST00000241891	Q9UHM6	OPN4
ENSG00000021762	ENST00000263650	Q9H0X9	OSBPL5
ENSG00000075073	ENST00000373306	P21452	TACR2
ENSG00000070413	ENST00000263196	P98153	DGCR2
ENSG00000104290	ENST00000240093	Q9NPG1	FZD3
ENSG00000076258	ENST00000367749	P31512	FMO4
ENSG00000136834	ENST00000259357	Q8NGS3	OR1J1
ENSG00000134851	ENST00000381334	Q9HC07	TMEM165
ENSG00000142552	ENST00000270645	Q96D15	RCN3
ENSG00000154227	ENST00000679737	Q8IU89	CERS3
ENSG00000136758	ENST00000376016	Q96TA2	YME1L1
ENSG00000112818	ENST00000230588	Q16819	MEP1A
ENSG00000126895	ENST00000646375	P30518	AVPR2
ENSG00000130032	ENST00000674457	Q9BZD7	PRRG3
ENSG00000139187	ENST00000356986	Q96E93	KLRG1
ENSG00000140564	ENST00000268171	P09958	FURIN
ENSG00000124334	ENST00000244174	Q01113	IL9R
ENSG00000009830	ENST00000261534	Q9UKY4	POMT2
ENSG00000100997	ENST00000339157	Q8N2K0	ABHD12
ENSG00000100100	ENST00000215912	Q96FE7	PIK3IP1
ENSG00000130985	ENST00000335972	P22314	UBA1
ENSG00000114354	ENST00000240851	Q92734	TFG
ENSG00000105974	ENST00000341049	Q03135	CAV1
ENSG00000100372	ENST00000435456	O43808	SLC25A17
ENSG00000138646	ENST00000264350	Q9UII4	HERC5
ENSG00000070915	ENST00000563236	P55017	SLC12A3
ENSG00000051108	ENST00000439977	Q15011	HERPUD1
ENSG00000086848	ENST00000616540	Q9H6U8	ALG9
ENSG00000120802	ENST00000556029	P42167	TMPO
ENSG00000007341	ENST00000358039	Q8TDW4	ST7L
ENSG00000101337	ENST00000398022	Q92544	TM9SF4
ENSG00000139182	ENST00000266546	Q9BQT9	CLSTN3
ENSG00000135336	ENST00000392844	Q9UBD5	ORC3
ENSG00000133318	ENST00000377819	O95197	RTN3
ENSG00000128973	ENST00000249806	Q9NWW5	CLN6
ENSG00000114739	ENST00000352511	Q13705	ACVR2B
ENSG00000100095	ENST00000248933	Q9BYH1	SEZ6L
ENSG00000079385	ENST00000161559	P13688	CEACAM1
ENSG00000126947	ENST00000372829	Q9P291	ARMCX1
ENSG00000150627	ENST00000508596	Q8IZU2	WDR17
ENSG00000127334	ENST00000344096	Q92630	DYRK2
ENSG00000099834	ENST00000397542	Q9HBB8	CDHR5
ENSG00000138964	ENST00000444313	Q9HBI0	PARVG
ENSG00000111700	ENST00000381545	Q9NPD5	SLCO1B3
ENSG00000088766	ENST00000378863	Q9UJA2	CRLS1
ENSG00000054392	ENST00000261458	Q5VTY9	HHAT
ENSG00000129910	ENST00000289746	P55291	CDH15
ENSG00000104883	ENST00000221480	Q96HA9	PEX11G
ENSG00000089472	ENST00000343002	Q9BQS7	HEPH
ENSG00000109736	ENST00000355443	Q14728	MFSD10
ENSG00000152254	ENST00000375363	Q9NQR9	G6PC2
ENSG00000155189	ENST00000285518	Q9NUQ2	AGPAT5
ENSG00000073734	ENST00000650372	O95342	ABCB11
ENSG00000125522	ENST00000684052	P48146	NPBWR2
ENSG00000081479	ENST00000649046	P98164	LRP2
ENSG00000113946	ENST00000264734	Q9Y5I7	CLDN16
ENSG00000104938	ENST00000327325	Q9H2X3	CLEC4M
ENSG00000017260	ENST00000510168	P98194	ATP2C1
ENSG00000106327	ENST00000223051	Q9UP52	TFR2
ENSG00000104133	ENST00000261866	Q96JI7	SPG11
ENSG00000151704	ENST00000392666	P48048	KCNJ1
ENSG00000120889	ENST00000276431	O14763	TNFRSF10B
ENSG00000146839	ENST00000613979	Q9Y493	ZAN
ENSG00000146828	ENST00000354161	Q9BXP2	SLC12A9
ENSG00000101152	ENST00000360864	Q9H3Z4	DNAJC5
ENSG00000111199	ENST00000261740	Q9HBA0	TRPV4
ENSG00000104755	ENST00000265708	Q99965	ADAM2
ENSG00000139970	ENST00000267484	Q16799	RTN1
ENSG00000109618	ENST00000382103	Q9HD40	SEPSECS
ENSG00000140932	ENST00000268595	Q8TAZ6	CMTM2
ENSG00000153132	ENST00000325617	O14967	CLGN
ENSG00000148110	ENST00000375344	Q5SR56	MFSD14B
ENSG00000137078	ENST00000259608	Q9Y3P8	SIT1
ENSG00000118705	ENST00000237530	P04844	RPN2
ENSG00000137101	ENST00000259633	P21854	CD72
ENSG00000148053	ENST00000277120	Q16620	NTRK2
ENSG00000148604	ENST00000652092	P47804	RGR
ENSG00000130150	ENST00000380492	Q8NHP6	MOSPD2
ENSG00000133800	ENST00000256178	Q9Y5Y7	LYVE1
ENSG00000106714	ENST00000297668	Q9BZ76	CNTNAP3
ENSG00000114850	ENST00000265044	Q9UNL2	SSR3
ENSG00000126259	ENST00000360202	Q6UWL6	KIRREL2
ENSG00000069122	ENST00000283296	Q8IZF2	ADGRF5
ENSG00000118777	ENST00000237612	Q9UNQ0	ABCG2
ENSG00000107929	ENST00000316157	Q92615	LARP4B
ENSG00000107331	ENST00000341511	Q9BZC7	ABCA2
ENSG00000138821	ENST00000356736	Q9C0K1	SLC39A8
ENSG00000053438	ENST00000649451	Q16517	NNAT
ENSG00000089692	ENST00000203629	P18627	LAG3
ENSG00000088827	ENST00000344754	Q9BZZ2	SIGLEC1
ENSG00000143061	ENST00000369486	O75054	IGSF3
ENSG00000134452	ENST00000362091	Q8NFZ0	FBH1
ENSG00000026950	ENST00000289361	O00481	BTN3A1
ENSG00000141873	ENST00000269740	Q9BRY0	SLC39A3
ENSG00000114529	ENST00000264848	Q5BVD1	C3orf52
ENSG00000134072	ENST00000256460	Q14012	CAMK1
ENSG00000099219	ENST00000339450	Q7Z2K6	ERMP1
ENSG00000125827	ENST00000246024	Q9H1E5	TMX4
ENSG00000135333	ENST00000369303	Q15375	EPHA7
ENSG00000104059	ENST00000261275	O60320	ENTREP2
ENSG00000144567	ENST00000430297	Q8NC44	RETREG2
ENSG00000147246	ENST00000276198	P28335	HTR2C
ENSG00000149575	ENST00000278947	O60939	SCN2B
ENSG00000115657	ENST00000265316	Q9NP58	ABCB6
ENSG00000087085	ENST00000241069	P22303	ACHE
ENSG00000131069	ENST00000360596	Q9NR19	ACSS2
ENSG00000099203	ENST00000214869	Q13445	TMED1
ENSG00000126091	ENST00000347631	Q11203	ST3GAL3
ENSG00000101294	ENST00000398174	Q8TCT9	HM13
ENSG00000112337	ENST00000377850	O00624	SLC17A2
ENSG00000087460	ENST00000371085	P63092	GNAS
ENSG00000010310	ENST00000590918	P48546	GIPR
ENSG00000125089	ENST00000245105	Q8TE82	SH3TC1
ENSG00000142484	ENST00000270560	O14894	TM4SF5
ENSG00000110079	ENST00000337908	Q96JQ5	MS4A4A
ENSG00000109501	ENST00000226760	O76024	WFS1
ENSG00000152683	ENST00000282587	Q6NXT4	SLC30A6
ENSG00000130227	ENST00000252512	Q9UIA9	XPO7
ENSG00000056291	ENST00000308744	Q9Y5X5	NPFFR2
ENSG00000112462	ENST00000396806	Q9UGF7	OR12D3
ENSG00000118432	ENST00000369501	P21554	CNR1
ENSG00000108556	ENST00000649488	Q04844	CHRNE
ENSG00000129422	ENST00000693296	Q9ULD2	MTUS1
ENSG00000134640	ENST00000257068	P49286	MTNR1B
ENSG00000128731	ENST00000261609	O95714	HERC2
ENSG00000062038	ENST00000264012	P22223	CDH3
ENSG00000089558	ENST00000264661	Q9UQ05	KCNH4
